top,left,date,qtr,time_remaining,result,shot_type,distance_ft,lead,steph_team_score,opponent_team_score,opponent,team,season,color
63,300,18-Oct-22,1st Qtr,7:27,FALSE,2,6,TRUE,9,6,LAL,GSW,2023,red
133,389,18-Oct-22,1st Qtr,7:22,TRUE,2,17,TRUE,11,6,LAL,GSW,2023,green
326,247,18-Oct-22,1st Qtr,7:11,FALSE,3,27,TRUE,11,6,LAL,GSW,2023,red
249,89,18-Oct-22,1st Qtr,5:16,FALSE,3,25,TRUE,19,13,LAL,GSW,2023,red
282,158,18-Oct-22,1st Qtr,3:52,FALSE,3,24,TRUE,22,17,LAL,GSW,2023,red
200,142,18-Oct-22,1st Qtr,2:58,FALSE,2,18,FALSE,22,22,LAL,GSW,2023,red
41,217,18-Oct-22,2nd Qtr,6:11,FALSE,2,3,TRUE,39,33,LAL,GSW,2023,red
59,232,18-Oct-22,2nd Qtr,5:15,TRUE,2,1,TRUE,43,33,LAL,GSW,2023,green
53,252,18-Oct-22,2nd Qtr,4:30,TRUE,2,1,TRUE,46,37,LAL,GSW,2023,green
54,233,18-Oct-22,2nd Qtr,4:03,TRUE,2,1,TRUE,48,37,LAL,GSW,2023,green
103,464,18-Oct-22,2nd Qtr,2:48,FALSE,3,23,TRUE,51,39,LAL,GSW,2023,red
63,261,18-Oct-22,2nd Qtr,0:32,TRUE,2,2,TRUE,59,48,LAL,GSW,2023,green
118,471,18-Oct-22,3rd Qtr,5:27,TRUE,3,24,TRUE,84,64,LAL,GSW,2023,green
312,338,18-Oct-22,3rd Qtr,4:51,TRUE,3,28,TRUE,87,64,LAL,GSW,2023,green
367,192,18-Oct-22,3rd Qtr,3:47,FALSE,3,32,TRUE,89,64,LAL,GSW,2023,red
242,52,18-Oct-22,3rd Qtr,3:42,FALSE,3,27,TRUE,89,64,LAL,GSW,2023,red
264,111,18-Oct-22,4th Qtr,6:23,FALSE,3,25,TRUE,100,83,LAL,GSW,2023,red
151,10,18-Oct-22,4th Qtr,4:01,TRUE,3,25,TRUE,109,93,LAL,GSW,2023,green
59,233,18-Oct-22,4th Qtr,3:33,TRUE,2,1,TRUE,111,96,LAL,GSW,2023,green
304,268,18-Oct-22,4th Qtr,3:15,TRUE,3,25,TRUE,114,98,LAL,GSW,2023,green
248,398,18-Oct-22,4th Qtr,2:46,FALSE,3,25,TRUE,115,100,LAL,GSW,2023,red
274,96,21-Oct-22,1st Qtr,9:14,TRUE,3,26,FALSE,8,10,DEN,GSW,2023,green
75,284,21-Oct-22,1st Qtr,6:55,TRUE,2,5,TRUE,18,16,DEN,GSW,2023,green
283,408,21-Oct-22,1st Qtr,6:39,FALSE,3,29,FALSE,18,18,DEN,GSW,2023,red
312,233,21-Oct-22,1st Qtr,4:12,FALSE,3,26,FALSE,23,24,DEN,GSW,2023,red
257,391,21-Oct-22,2nd Qtr,5:59,FALSE,3,25,FALSE,41,55,DEN,GSW,2023,red
313,340,21-Oct-22,2nd Qtr,3:54,FALSE,3,28,FALSE,46,58,DEN,GSW,2023,red
84,289,21-Oct-22,2nd Qtr,2:17,TRUE,2,6,FALSE,48,64,DEN,GSW,2023,green
71,205,21-Oct-22,2nd Qtr,1:44,TRUE,2,4,FALSE,50,66,DEN,GSW,2023,green
147,270,21-Oct-22,3rd Qtr,9:46,FALSE,2,10,FALSE,57,75,DEN,GSW,2023,red
151,253,21-Oct-22,3rd Qtr,9:43,FALSE,2,10,FALSE,57,75,DEN,GSW,2023,red
268,95,21-Oct-22,3rd Qtr,9:21,FALSE,3,26,FALSE,57,77,DEN,GSW,2023,red
90,272,21-Oct-22,3rd Qtr,4:36,TRUE,2,5,FALSE,79,86,DEN,GSW,2023,green
143,322,21-Oct-22,3rd Qtr,2:42,FALSE,2,12,FALSE,81,91,DEN,GSW,2023,red
309,332,21-Oct-22,3rd Qtr,2:17,TRUE,3,27,FALSE,84,93,DEN,GSW,2023,green
72,323,21-Oct-22,4th Qtr,5:29,TRUE,2,9,FALSE,103,111,DEN,GSW,2023,green
88,283,21-Oct-22,4th Qtr,4:52,FALSE,2,6,FALSE,103,111,DEN,GSW,2023,red
54,12,21-Oct-22,4th Qtr,4:04,FALSE,3,23,FALSE,105,114,DEN,GSW,2023,red
253,68,21-Oct-22,4th Qtr,3:34,TRUE,3,26,FALSE,108,114,DEN,GSW,2023,green
225,47,21-Oct-22,4th Qtr,2:38,TRUE,3,26,FALSE,111,116,DEN,GSW,2023,green
92,202,21-Oct-22,4th Qtr,1:52,FALSE,2,5,FALSE,111,116,DEN,GSW,2023,red
384,344,21-Oct-22,4th Qtr,1:11,TRUE,3,35,FALSE,114,121,DEN,GSW,2023,green
188,397,21-Oct-22,4th Qtr,0:39,FALSE,2,21,FALSE,116,123,DEN,GSW,2023,red
213,38,23-Oct-22,1st Qtr,9:06,FALSE,3,26,TRUE,10,2,SAC,GSW,2023,red
80,226,23-Oct-22,1st Qtr,7:29,FALSE,2,3,TRUE,12,8,SAC,GSW,2023,red
233,37,23-Oct-22,1st Qtr,7:10,TRUE,3,27,TRUE,15,10,SAC,GSW,2023,green
213,187,23-Oct-22,1st Qtr,5:47,TRUE,2,17,TRUE,19,17,SAC,GSW,2023,green
82,276,23-Oct-22,1st Qtr,3:57,TRUE,2,5,TRUE,25,23,SAC,GSW,2023,green
169,374,23-Oct-22,2nd Qtr,7:15,TRUE,2,18,TRUE,58,54,SAC,GSW,2023,green
298,130,23-Oct-22,2nd Qtr,6:47,TRUE,3,27,TRUE,61,57,SAC,GSW,2023,green
314,330,23-Oct-22,2nd Qtr,6:22,TRUE,3,28,TRUE,64,57,SAC,GSW,2023,green
258,54,23-Oct-22,2nd Qtr,3:53,TRUE,3,28,TRUE,74,61,SAC,GSW,2023,green
185,15,23-Oct-22,2nd Qtr,2:50,TRUE,3,26,TRUE,79,63,SAC,GSW,2023,green
147,7,23-Oct-22,2nd Qtr,1:28,TRUE,3,25,TRUE,86,65,SAC,GSW,2023,green
59,4,23-Oct-22,2nd Qtr,0:44,FALSE,3,24,TRUE,89,69,SAC,GSW,2023,red
93,324,23-Oct-22,2nd Qtr,0:13,FALSE,2,9,TRUE,89,71,SAC,GSW,2023,red
218,38,23-Oct-22,3rd Qtr,10:48,TRUE,3,26,TRUE,92,75,SAC,GSW,2023,green
304,142,23-Oct-22,3rd Qtr,9:57,FALSE,3,27,TRUE,92,75,SAC,GSW,2023,red
208,374,23-Oct-22,3rd Qtr,9:16,TRUE,2,21,TRUE,94,75,SAC,GSW,2023,green
74,165,23-Oct-22,3rd Qtr,7:12,FALSE,2,8,TRUE,98,81,SAC,GSW,2023,red
285,436,23-Oct-22,3rd Qtr,3:03,FALSE,3,30,TRUE,109,85,SAC,GSW,2023,red
310,133,23-Oct-22,4th Qtr,4:42,FALSE,3,28,TRUE,125,113,SAC,GSW,2023,red
93,215,23-Oct-22,4th Qtr,2:33,FALSE,2,5,TRUE,126,118,SAC,GSW,2023,red
233,295,23-Oct-22,4th Qtr,1:36,FALSE,2,19,TRUE,126,120,SAC,GSW,2023,red
84,291,23-Oct-22,4th Qtr,1:10,FALSE,2,6,TRUE,126,120,SAC,GSW,2023,red
149,118,25-Oct-22,1st Qtr,9:52,TRUE,2,16,TRUE,7,4,PHO,GSW,2023,green
223,193,25-Oct-22,1st Qtr,5:57,FALSE,2,18,FALSE,12,17,PHO,GSW,2023,red
149,332,25-Oct-22,1st Qtr,4:09,FALSE,2,13,FALSE,16,23,PHO,GSW,2023,red
287,368,25-Oct-22,2nd Qtr,5:52,TRUE,3,27,FALSE,46,50,PHO,GSW,2023,green
279,377,25-Oct-22,2nd Qtr,2:29,FALSE,3,26,FALSE,55,60,PHO,GSW,2023,red
218,439,25-Oct-22,2nd Qtr,2:25,TRUE,3,26,FALSE,58,60,PHO,GSW,2023,green
308,166,25-Oct-22,2nd Qtr,1:20,TRUE,3,27,FALSE,63,65,PHO,GSW,2023,green
238,177,25-Oct-22,3rd Qtr,11:34,FALSE,2,20,FALSE,66,72,PHO,GSW,2023,red
61,237,25-Oct-22,3rd Qtr,8:57,TRUE,2,1,FALSE,74,79,PHO,GSW,2023,green
282,388,25-Oct-22,3rd Qtr,5:35,FALSE,3,27,FALSE,77,90,PHO,GSW,2023,red
97,219,25-Oct-22,4th Qtr,8:10,FALSE,2,5,FALSE,92,109,PHO,GSW,2023,red
248,448,25-Oct-22,4th Qtr,7:34,TRUE,3,29,FALSE,97,109,PHO,GSW,2023,green
333,318,25-Oct-22,4th Qtr,6:00,FALSE,3,29,FALSE,99,113,PHO,GSW,2023,red
66,245,25-Oct-22,4th Qtr,5:37,TRUE,2,1,FALSE,101,115,PHO,GSW,2023,green
171,244,25-Oct-22,4th Qtr,4:07,FALSE,2,12,FALSE,101,120,PHO,GSW,2023,red
259,453,25-Oct-22,4th Qtr,3:58,FALSE,3,30,FALSE,101,120,PHO,GSW,2023,red
367,239,25-Oct-22,4th Qtr,3:38,FALSE,3,31,FALSE,101,120,PHO,GSW,2023,red
53,240,27-Oct-22,1st Qtr,9:30,TRUE,2,0,TRUE,10,4,MIA,GSW,2023,green
69,283,27-Oct-22,1st Qtr,7:46,TRUE,2,5,TRUE,14,11,MIA,GSW,2023,green
333,135,27-Oct-22,1st Qtr,6:03,TRUE,3,30,TRUE,21,16,MIA,GSW,2023,green
325,232,27-Oct-22,1st Qtr,2:14,FALSE,3,27,TRUE,25,23,MIA,GSW,2023,red
333,328,27-Oct-22,2nd Qtr,7:35,FALSE,3,29,FALSE,41,41,MIA,GSW,2023,red
294,331,27-Oct-22,2nd Qtr,5:27,TRUE,3,26,TRUE,51,45,MIA,GSW,2023,green
80,284,27-Oct-22,2nd Qtr,2:46,TRUE,2,5,TRUE,59,50,MIA,GSW,2023,green
51,474,27-Oct-22,2nd Qtr,1:50,FALSE,3,23,TRUE,61,50,MIA,GSW,2023,red
218,449,27-Oct-22,3rd Qtr,11:48,FALSE,3,27,TRUE,63,59,MIA,GSW,2023,red
257,66,27-Oct-22,3rd Qtr,8:29,TRUE,3,27,TRUE,74,70,MIA,GSW,2023,green
338,343,27-Oct-22,3rd Qtr,5:18,TRUE,3,30,FALSE,77,77,MIA,GSW,2023,green
90,282,27-Oct-22,3rd Qtr,4:42,TRUE,2,6,TRUE,79,77,MIA,GSW,2023,green
388,231,27-Oct-22,3rd Qtr,4:20,FALSE,3,34,TRUE,79,77,MIA,GSW,2023,red
146,288,27-Oct-22,3rd Qtr,2:26,FALSE,2,11,TRUE,81,80,MIA,GSW,2023,red
126,15,27-Oct-22,3rd Qtr,1:39,TRUE,3,24,TRUE,88,82,MIA,GSW,2023,green
362,335,27-Oct-22,3rd Qtr,1:11,FALSE,3,32,TRUE,88,84,MIA,GSW,2023,red
279,126,27-Oct-22,4th Qtr,5:32,TRUE,3,25,TRUE,108,100,MIA,GSW,2023,green
116,267,27-Oct-22,4th Qtr,3:36,FALSE,2,7,TRUE,111,105,MIA,GSW,2023,red
97,309,27-Oct-22,4th Qtr,3:15,TRUE,2,8,TRUE,113,105,MIA,GSW,2023,green
30,17,27-Oct-22,4th Qtr,2:46,FALSE,3,22,TRUE,113,105,MIA,GSW,2023,red
313,248,27-Oct-22,4th Qtr,2:40,TRUE,3,26,TRUE,116,105,MIA,GSW,2023,green
236,204,27-Oct-22,4th Qtr,2:04,TRUE,2,19,TRUE,118,107,MIA,GSW,2023,green
297,177,29-Oct-22,1st Qtr,10:35,FALSE,3,25,FALSE,2,7,CHO,GSW,2023,red
344,286,29-Oct-22,1st Qtr,8:32,FALSE,3,30,FALSE,7,14,CHO,GSW,2023,red
66,227,29-Oct-22,1st Qtr,7:54,TRUE,2,2,FALSE,9,14,CHO,GSW,2023,green
277,202,29-Oct-22,1st Qtr,6:43,TRUE,2,23,FALSE,13,16,CHO,GSW,2023,green
62,244,29-Oct-22,1st Qtr,5:05,TRUE,2,1,FALSE,15,20,CHO,GSW,2023,green
80,202,29-Oct-22,1st Qtr,3:25,TRUE,2,5,FALSE,17,23,CHO,GSW,2023,green
285,343,29-Oct-22,1st Qtr,3:02,FALSE,3,25,FALSE,17,23,CHO,GSW,2023,red
310,140,29-Oct-22,2nd Qtr,5:27,FALSE,3,28,FALSE,40,45,CHO,GSW,2023,red
333,197,29-Oct-22,3rd Qtr,10:33,FALSE,3,28,FALSE,50,63,CHO,GSW,2023,red
328,208,29-Oct-22,3rd Qtr,6:53,TRUE,3,28,FALSE,60,67,CHO,GSW,2023,green
184,257,29-Oct-22,3rd Qtr,5:10,FALSE,2,13,FALSE,64,72,CHO,GSW,2023,red
212,34,29-Oct-22,3rd Qtr,4:48,TRUE,3,26,FALSE,67,72,CHO,GSW,2023,green
72,248,29-Oct-22,3rd Qtr,4:02,TRUE,2,2,FALSE,71,75,CHO,GSW,2023,green
